系列,系列グループ,科目コード,科目名,単位数,年次,開講期,単位区分,週コマ数,講義区分,学修 ･教育到達目標,GPA:4,GPA:3,GPA:2,test,other
専門,,L0930300,プログラミング言語論,1,2,後期,△,1,講義,B-3,94.1,3.4,0.8,90,10
専門,,L0986800,数値計算法,2,2,後期,△,1,講義,B-2,46.6,24.6,11,70,30
専門,,L0305800,データベース,2,3,前期,△,1,講義,B-6,40.5,29.1,22.8,80,20
専門,,L0366000,コンピュータビジョン,2,3,前期,△,1,講義,B-5,67.9,16,9.9,0,100
専門,,L0405000,上級プログラミング１,2,3,前期,△,2,講義,"B-3, C-2",77.1,15.2,4.8,20,80
専門,,L0405100,上級プログラミング２,2,3,前期,△,2,講義,"B-3,B-6,C-2",70.9,4.9,2.9,0,100
専門,,L0440300,人工知能,2,3,前期,△,1,講義,B-5,59.6,26,4.8,60,40
専門,,L0500100,組込みシステム,2,3,前期,△,1,講義,C-1,72,8,4,0,100
専門,,L0693700,情報ネットワーク,2,3,前期,△,1,講義,B-6,85.7,4.1,0,50,50
専門,,L0981600,集積回路工学,2,3,前期,△,1,講義,B-4,44.3,27.9,18,60,40
専門,,L0986600,数理計画法,1,3,前期,△,1,講義,B-2,55.7,21.4,18.6,60,40
専門,,L0987200,ソフトウェア工学,2,3,前期,△,1,講義,B-3,58.2,31.9,7.7,30,70
専門,,L0320100,情報セキュリティ,2,3,後期,△,1,講義,D,42,34.6,19.8,0,100
専門,,L0471800,自然言語処理,2,3,後期,△,1,講義,B-5,78,11,4.9,0,100
専門,,L0510100,音響・音声処理工学,2,3,後期,△,1,講義,B-5,69.6,21.5,5.1,0,100
専門,,L0600200,マーケティング,2,3,後期,△,1,講義,C-1,11.1,22.2,11.1,0,100
専門,,L0932900,システムプログラミング,2,3,後期,△,1,講義,B-3,-1,-1,-1,-1,-1
専門,,L0983200,コンピュータグラフィックス,2,3,後期,△,1,講義,B-5,74.1,13.8,5.2,0,100
専門,,L0984000,情報倫理,2,3,後期,△,1,講義,D,78.9,21.1,0,35,65
専門,,L0986700,データ解析法,2,3,後期,△,1,講義,B-2,53.3,9.3,9.3,40,60
専門,,L0994000,感性情報処理,2,3,後期,△,1,講義,B-5,36.8,31.6,10.5,0,100
専門,,L0840400,高度情報演習１Ａ,2,3,前期,△,2,演習,"C-2,F-1,G",89.2,7.5,1.1,0,100
専門,,L0970900,高度情報演習１Ｂ,3,3,前期,△,2,演習,"C-2,F-1,G",75,21.7,0,0,100
専門,,L0855200,高度情報演習２Ａ,2,3,後期,△,2,演習,"C-2,F-1,G",68,10,8,0,100
専門,,L0971700,高度情報演習２Ｂ,3,3,後期,△,2,演習,"C-2,F-1,G",55.6,44.4,0,0,100
専門,,L0973300,高度情報演習２Ｃ,2,3,後期,△,2,演習,"C-2,F-1,G",86.5,3.8,1.9,0,100
専門,,L0987400,情報工学実習,1,0,通年,△,1,実習,G,-1,-1,-1,-1,-1
専門,,L0991100,情報工学海外実習１,2,0,通年,△,2,実習,G,91.7,8.3,0,-1,-1
専門,,L0991200,情報工学海外実習２,2,0,通年,△,2,実習,G,-1,-1,-1,-1,-1
専門,,L0991300,情報工学海外実習３,2,0,通年,△,2,実習,G,-1,-1,-1,-1,-1
専門,,L0991400,情報工学海外実習４,2,0,通年,△,2,実習,G,-1,-1,-1,-1,-1
専門,,L0994200,Introduction to Computer Science and Engineering,2,2,後期,△,1,講義,F-1,22.2,11.1,22.2,-1,-1
専門,,L0950000,Operating Systems and Exercises,2,3,後期,△,1,演習,B-3,-1,-1,-1,-1,-1
専門,,L0990700,情報通信技術英語,2,3,前期,△,1,講義,F-2,36.4,45.5,9.1,-1,-1
専門,,L0035000,Interaction Design,2,3,前期,△,1,講義,B-5,80,0,0,-1,-1
専門,,L0967000,Accessibility of Information and Communication,2,3,前期,△,1,講義,B-5,50,40,10,-1,-1
専門,,L0994100,Exercise on Object Oriented Programming,2,3,後期,△,1,演習,C-2,23.5,29.4,41.2,-1,-1
専門,,L0968000,Seminar on ICT and Society 1,2,3,前期,△,1,演習,F-1,-1,-1,-1,-1,-1
専門,,L0969000,Seminar on ICT and Society 2,2,3,後期,△,1,演習,F-1,-1,-1,-1,-1,-1
専門,,L0994300,Engineering Mathematics,2,2,前期,△,1,講義,B-2,-1,-1,-1,-1,-1
専門,,L0994400,Foundations for Programming Languages,2,2,後期,△,1,講義,B-3,84.6,7.7,0,-1,-1
専門,,L0830500,卒研プレゼミナール,2,3,後期,△,1,講義,G,-1,-1,-1,-1,-1
専門,,L0740700,卒業研究１,4,4,通年,◎,2,卒研,"G, C-2, F-1",0,0,50,-1,-1
専門,,L0740800,卒業研究２,8,4,通年,◎,4,卒研,"G, C-2, F-1",80.9,12.7,2.7,-1,-1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
